name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Jordan Howard,RB,224,213,0,0,0,0,0,0.0,0,119,525,6,14,69,1,0.0,0,24.40822222222222,0,9,0.0,4.48,0.0
Sterling Shepard,WR,221,259,0,0,0,0,0,0.0,0,0,0,0,83,576,3,0.907,57,26.2731,0,10,0.0,0.0,9.808
James Washington,WR,265,286,0,0,0,0,0,0.0,0,0,0,0,80,735,3,0.6839999999999999,44,23.217266666666667,1,15,0.0,0.0,14.958666666666664
Marquez Valdes-Scantling,WR,356,298,0,0,0,0,0,0.0,0,0,0,0,56,452,2,0.526,26,24.8088,0,15,0.0,0.0,12.433333333333334
Kyler Murray,QB,361,442,349,542,3722,20,12,88.78125,48,93,544,4,0,0,0,0.0,0,22.086499999999997,2,16,6.935625,0.0,0.0
Philip Rivers,QB,337,345,390,591,4615,23,20,92.00625,34,12,29,0,0,0,0,0.0,0,37.4873125,3,16,8.18375,0.0,0.0
Jameis Winston,QB,458,449,380,626,5109,33,30,86.77499999999999,47,59,250,1,0,0,0,0.0,0,25.301625,5,16,8.265,0.0,0.0
Royce Freeman,RB,282,316,0,0,0,0,0,0.0,0,132,496,3,50,256,1,0.0,0,23.2514375,0,16,0.0,3.59875,0.0
Corey Davis,WR,367,299,0,0,0,0,0,0.0,0,0,0,0,69,601,2,0.7566666666666667,43,24.294400000000003,0,15,0.0,0.0,13.280000000000001
Eric Ebron,TE,244,226,0,0,0,0,0,0.0,0,0,0,0,52,375,3,0.42454545454545456,31,26.189545454545456,0,11,0.0,0.0,13.738181818181818
Geronimo Allison,WR,366,310,0,0,0,0,0,0.0,0,0,0,0,55,287,2,0.5946666666666667,34,25.291733333333333,1,15,0.0,0.0,7.788666666666667
Michael Gallup,WR,393,303,0,0,0,0,0,0.0,0,0,0,0,113,1107,6,0.8514285714285716,66,23.249642857142863,0,14,0.0,0.0,15.959285714285715
Ben Roethlisberger,QB,29,61,35,62,351,0,1,66.5,2,1,7,0,0,0,0,0.0,0,37.1935,0,2,5.4350000000000005,0.0,0.0
Larry Fitzgerald,WR,361,442,0,0,0,0,0,0.0,0,0,0,0,109,804,4,0.845,75,36.0625,1,16,0.0,0.0,10.483125000000001
Tom Brady,QB,420,225,373,613,4057,24,8,89.10624999999999,27,26,34,3,0,0,0,0.0,0,42.091375,1,16,6.688125,0.0,0.0
Adrian Peterson,RB,239,403,0,0,0,0,0,0.0,0,211,898,5,23,142,0,0.0,0,34.230133333333335,2,15,0.0,4.049333333333333,0.0
Peyton Barber,RB,458,449,0,0,0,0,0,0.0,0,154,470,6,24,115,1,0.0,0,25.129624999999997,1,16,0.0,2.82625,0.0
DeSean Jackson,WR,54,41,0,0,0,0,0,0.0,0,0,0,0,10,159,2,0.37,9,32.309,0,2,0.0,0.0,12.125
Justice Hill,RB,531,282,0,0,0,0,0,0.0,0,58,225,2,15,70,0,0.0,0,21.632125,0,16,0.0,3.449375,0.0
Dante Pettis,WR,259,129,0,0,0,0,0,0.0,0,0,0,0,24,109,2,0.4655555555555556,11,23.564222222222227,0,9,0.0,0.0,7.111111111111111
Justin Jackson,RB,162,155,0,0,0,0,0,0.0,0,29,200,0,11,22,0,0.0,0,23.193,0,7,0.0,6.994285714285715,0.0
Courtland Sutton,WR,282,316,0,0,0,0,0,0.0,0,0,0,0,125,1112,6,0.92125,72,23.825,0,16,0.0,0.0,16.401249999999997
D.K. Metcalf,WR,405,398,0,0,0,0,0,0.0,0,0,0,0,100,900,7,0.8375000000000001,58,21.442125,3,16,0.0,0.0,14.984375
Donte Moncrief,WR,80,92,0,0,0,0,0,0.0,0,0,0,0,15,18,0,0.415,4,26.056,0,4,0.0,0.0,3.3325
Dak Prescott,QB,434,321,388,596,4902,30,11,100.95625000000001,23,52,277,3,0,0,0,0.0,0,26.097125,2,16,8.307500000000001,0.0,0.0
Kalen Ballage,RB,200,377,0,0,0,0,0,0.0,0,74,135,3,24,63,0,0.0,0,23.303250000000002,0,12,0.0,1.8316666666666663,0.0
Jaylen Samuels,RB,218,248,0,0,0,0,0,0.0,0,66,175,1,57,305,1,0.0,0,23.11230769230769,1,13,0.0,2.421538461538461,0.0
Alexander Mattison,RB,339,249,0,0,0,0,0,0.0,0,100,462,1,12,82,0,0.0,0,21.12392307692308,1,13,0.0,4.397692307692308,0.0
Mark Andrews,TE,503,272,0,0,0,0,0,0.0,0,0,0,0,98,852,10,0.43600000000000005,64,24.054599999999997,1,15,0.0,0.0,13.666666666666666
Trey Burton,TE,159,147,0,0,0,0,0,0.0,0,0,0,0,24,84,0,0.57375,14,27.507875,0,8,0.0,0.0,5.29125
Kirk Cousins,QB,388,282,307,444,3603,26,6,108.06666666666666,28,31,63,1,0,0,0,0.0,0,31.070800000000002,3,15,8.319333333333335,0.0,0.0
Golden Tate,WR,241,323,0,0,0,0,0,0.0,0,0,0,0,85,676,6,0.8618181818181818,49,31.105636363636368,1,11,0.0,0.0,16.24
Mecole Hardman,WR,451,308,0,0,0,0,0,0.0,0,0,0,0,41,538,6,0.445,26,21.234562500000003,2,16,0.0,0.0,18.640625
Tyrell Williams,WR,250,340,0,0,0,0,0,0.0,0,0,0,0,64,651,6,0.8746153846153846,42,27.26438461538461,0,13,0.0,0.0,15.092307692307692
Anthony Miller,WR,280,298,0,0,0,0,0,0.0,0,0,0,0,85,656,2,0.6387499999999999,52,24.827375,1,16,0.0,0.0,9.320625
John Brown,WR,308,246,0,0,0,0,0,0.0,0,0,0,0,115,1060,6,0.9106666666666666,72,29.2114,0,15,0.0,0.0,16.694
Carlos Hyde,RB,378,385,0,0,0,0,0,0.0,0,245,1070,6,16,42,0,0.0,0,28.964,2,16,0.0,4.3575,0.0
Josh Allen,QB,314,259,271,461,3089,20,9,86.20625,38,109,510,9,0,0,0,0.0,0,23.1670625,4,16,6.54125,0.0,0.0
Keke Coutee,WR,175,228,0,0,0,0,0,0.0,0,0,0,0,36,254,0,0.585,22,22.28775,1,8,0.0,0.0,10.68875
Austin Hooper,TE,312,335,0,0,0,0,0,0.0,0,0,0,0,97,787,6,0.7884615384615384,75,24.609384615384613,0,13,0.0,0.0,10.296153846153846
